time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2023-06-14,11.9,9.2,15.1,,,303.0,11.5,,1012.5,,krasnoyarsk
2023-06-15,14.6,5.6,21.7,,,209.0,12.8,,1013.2,,krasnoyarsk
2023-06-16,17.1,10.1,22.7,,,218.0,10.2,,1006.6,,krasnoyarsk
2023-06-17,19.4,8.9,27.4,,,208.0,8.9,,1006.5,,krasnoyarsk
2023-06-18,18.7,11.5,24.4,,,242.0,9.3,,1003.2,,krasnoyarsk
2023-06-19,16.7,12.2,21.3,,,5.0,6.5,,1005.9,,krasnoyarsk
2023-06-20,19.7,9.8,28.5,,,86.0,8.2,,998.9,,krasnoyarsk
2023-06-21,19.8,15.8,23.9,,,266.0,7.6,,1002.8,,krasnoyarsk
2023-06-22,18.8,13.0,24.5,,,233.0,8.3,,1004.2,,krasnoyarsk
2023-06-23,16.0,10.3,20.4,,,226.0,8.6,,1007.6,,krasnoyarsk
2023-06-24,15.7,7.1,22.2,,,73.0,5.4,,1008.1,,krasnoyarsk
2023-06-25,13.7,11.5,16.3,,,296.0,9.4,,1008.0,,krasnoyarsk
2023-06-26,15.3,11.1,19.2,,,271.0,10.4,,1011.9,,krasnoyarsk
2023-06-27,16.2,7.4,23.0,,,234.0,5.9,,1009.9,,krasnoyarsk
2023-06-28,19.4,9.4,27.6,,,102.0,8.3,,1000.3,,krasnoyarsk
2023-06-29,18.9,14.0,23.0,,,216.0,11.6,,1000.9,,krasnoyarsk
2023-06-30,18.0,13.2,22.7,,,216.0,11.9,,1006.5,,krasnoyarsk
2023-07-01,17.0,11.2,21.0,,,211.0,7.5,,1007.2,,krasnoyarsk
2023-07-02,16.1,10.1,21.2,,,243.0,8.0,,1013.5,,krasnoyarsk
2023-07-03,16.4,9.1,22.1,,,311.0,4.9,,1014.3,,krasnoyarsk
2023-07-04,17.8,11.0,23.6,,,297.0,5.3,,1012.0,,krasnoyarsk
2023-07-05,20.3,12.9,27.2,,,300.0,6.2,,1009.2,,krasnoyarsk
2023-07-06,21.9,12.6,29.4,,,320.0,4.8,,1009.3,,krasnoyarsk
2023-07-07,22.9,13.2,30.8,,,54.0,4.8,,1007.7,,krasnoyarsk
2023-07-08,22.7,15.2,29.1,,,123.0,6.0,,1004.5,,krasnoyarsk
2023-07-09,20.5,16.1,23.9,,,222.0,9.9,,1005.5,,krasnoyarsk
2023-07-10,20.3,16.0,24.7,,,242.0,10.1,,1007.0,,krasnoyarsk
2023-07-11,21.5,15.6,26.6,,,238.0,12.8,,1009.3,,krasnoyarsk
2023-07-12,20.0,15.7,23.5,,,265.0,9.5,,1012.0,,krasnoyarsk
2023-07-13,20.3,11.3,27.2,,,222.0,7.8,,1013.0,,krasnoyarsk
2023-07-14,21.3,15.4,25.9,,,47.0,4.8,,1007.9,,krasnoyarsk
2023-07-15,22.4,15.9,29.0,,,77.0,6.5,,1003.0,,krasnoyarsk
2023-07-16,21.8,18.0,25.8,,,216.0,9.0,,1002.2,,krasnoyarsk
2023-07-17,19.2,15.0,23.0,,,250.0,8.6,,1007.6,,krasnoyarsk
2023-07-18,19.4,12.4,25.4,,,61.0,4.6,,1016.1,,krasnoyarsk
2023-07-19,19.4,11.4,26.2,,,42.0,5.9,,1012.7,,krasnoyarsk
2023-07-20,20.7,11.8,28.2,,,61.0,7.6,,1009.3,,krasnoyarsk
2023-07-21,20.7,13.5,26.8,,,134.0,6.0,,1008.5,,krasnoyarsk
2023-07-22,22.5,16.1,28.6,,,184.0,6.0,,1008.7,,krasnoyarsk
2023-07-23,19.5,15.8,22.7,,,226.0,9.0,,1006.9,,krasnoyarsk
2023-07-24,19.0,14.2,22.8,,,220.0,8.3,,1006.2,,krasnoyarsk
2023-07-25,19.5,15.7,23.7,,,226.0,9.5,,1005.8,,krasnoyarsk
2023-07-26,20.2,14.6,25.0,,,227.0,8.7,,1006.8,,krasnoyarsk
2023-07-27,21.2,15.4,26.7,,,208.0,7.6,,1007.8,,krasnoyarsk
2023-07-28,21.1,13.9,27.2,,,111.0,4.0,,1005.3,,krasnoyarsk
2023-07-29,18.9,14.6,21.4,,,0.0,6.2,,1002.1,,krasnoyarsk
2023-07-30,21.1,16.6,25.9,,,226.0,13.4,,1004.2,,krasnoyarsk
2023-07-31,21.9,15.8,27.4,,,225.0,7.7,,1004.7,,krasnoyarsk
2023-08-01,21.7,14.5,28.0,,,286.0,4.0,,1006.9,,krasnoyarsk
2023-08-02,22.4,14.8,28.7,,,0.0,3.8,,1007.0,,krasnoyarsk
2023-08-03,22.5,15.3,28.7,,,38.0,4.5,,1006.7,,krasnoyarsk
2023-08-04,21.8,16.0,27.3,,,8.0,5.3,,1006.0,,krasnoyarsk
